name,code
中国海油,sh600938
万华化学,sh600309
恒力石化,sh600346
荣盛石化,sz002493
东方盛虹,sz000301
恒逸石化,sz000703
桐昆股份,sh601233
上海石化,sh600688
新凤鸣,sh603225
岳阳兴长,sz000819
ST海越,sh600387
仁智股份,sz002629
贝肯能源,sz002828
和顺石油,sh603353
沈阳化工,sz000698
统一股份,sh600506
准油股份,sz002207
康普顿,sh603798
石化油服,sh600871
洲际油气,sh600759
国际实业,sz000159
博迈科,sh603727
中油工程,sh600339
惠博普,sz002554
华景股份,sz000059
中海油服,sh601808
蓝焰控股,sz000968
东华能源,sz002221
上海石化,sh600688
泰山石油,sz000554
中国石化,sh600028
茂化实华,sz000637
广聚能源,sz000096
恒力石化,sh600346
海油工程,sh600583
海油发展,sh600968
广汇能源,sh600256
